taxonID	identifier	bibliographicCitation	title	creator	date	description	type
134967		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134967		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134967		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134968		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134968		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134969		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134969		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134969		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134970		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134970		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134973		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134973		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134973		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134975		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134975		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134975		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134975		Shiel, R.; Smales, L.; Sterrer, W.; Duggan, I.C.; Pichelin, S.; Green, J.D. (2009). Phylum Gnathifera: lesser jaw worms, rotifers, thorny-headed worms, in: Gordon, D.P. (Ed.) (2009). New Zealand inventory of biodiversity: 1. Kingdom Animalia: Radiata, Lophotrochozoa, Deuterostomia. pp. 137-158.	Phylum Gnathifera: lesser jaw worms, rotifers, thorny-headed worms, New Zealand inventory of biodiversity: 1	Shiel, R.; Smales, L.; Sterrer, W.; Duggan, I. C.; Pichelin, S.; Green, J. D.	2009		additional source
134976		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134976		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134976		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134977		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134977		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134977		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134979		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134979		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134979		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134979		Sørensen, M. V. 2009. Rotifera of the Gulf of Mexico, Pp. 533–537 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Rotifera of the Gulf of Mexico,	Sørensen, M. V.	2009		additional source
134980		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134980		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134980		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134981		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134981		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134981		ITIS database	ITIS database				additional source
134983		De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	De Ridder, M.	1963		additional source
134983		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134983		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134984		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134984		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134984		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134985		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134985		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134985		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134986		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134986		Shiel, R.; Smales, L.; Sterrer, W.; Duggan, I.C.; Pichelin, S.; Green, J.D. (2009). Phylum Gnathifera: lesser jaw worms, rotifers, thorny-headed worms, in: Gordon, D.P. (Ed.) (2009). New Zealand inventory of biodiversity: 1. Kingdom Animalia: Radiata, Lophotrochozoa, Deuterostomia. pp. 137-158.	Phylum Gnathifera: lesser jaw worms, rotifers, thorny-headed worms, New Zealand inventory of biodiversity: 1	Shiel, R.; Smales, L.; Sterrer, W.; Duggan, I. C.; Pichelin, S.; Green, J. D.	2009		additional source
134986		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134986		De Ridder, M. (1963). Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	Recherches sur les Rotifières des eaux saumâtres: 10. Les Rotifières planktoniques de Nieuport et environs [Research on Rotifera of brackish waters: 10. The planktonic Rotifera of Nieuwpoort and surroundings]. <i>Med. K. Belg. Inst. Nat. Wet. 39(4)</i>: 1-39	De Ridder, M.	1963		additional source
134986		Sørensen, M. V. 2009. Rotifera of the Gulf of Mexico, Pp. 533–537 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Rotifera of the Gulf of Mexico,	Sørensen, M. V.	2009		additional source
134988		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134988		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134988		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134989		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134989		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134989		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134990		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134990		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134990		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134990		Dyntaxa. (2013). Swedish Taxonomic Database. Accessed at www.dyntaxa.se [15-01-2013].	Swedish Taxonomic Database	Dyntaxa	2013		additional source
134992		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134992		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134992		ITIS database	ITIS database				additional source
134993		Azémar, F.; Fiers, F.; Tackx, M. (2002). Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Zooplankton taxonomic list - taxa found from Bath to Gent (Schelde) during winter and spring 2002. Unpublished data.	Azémar, F.; Fiers, F.; Tackx, M.	2002		additional source
134993		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134993		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134996		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
